"ID","età","genere","frat","item1","item2","item3","item4","item5","au1","au2","au3","au4","au5","au6","au7","au8","au9","au10","score_ben","score_au"
42,27,2,2,1,3,2,2,1,4,4,3,3,4,4,2,3,4,3,9,34
43,22,1,1,2,2,2,3,2,5,4,4,3,4,4,3,4,3,4,11,38
44,20,1,0,1,1,2,4,3,5,3,4,2,3,4,2,4,2,5,11,34
45,17,1,3,5,2,3,3,3,5,4,4,3,4,4,1,5,1,4,16,35
46,18,1,2,4,4,4,2,4,3,3,3,2,4,4,2,4,3,4,18,32
47,15,1,1,2,3,3,3,1,3,2,3,4,2,3,3,3,4,3,12,30
48,16,2,2,3,2,2,3,2,3,1,3,2,3,5,1,5,3,5,12,31
49,20,2,0,3,3,3,5,4,4,3,3,2,4,4,4,4,2,3,18,33
50,22,1,1,1,2,2,4,5,5,5,4,2,4,3,2,5,1,4,14,35
51,25,1,4,2,5,4,4,4,5,5,1,5,1,2,3,1,5,1,19,29
52,31,1,3,2,4,5,3,5,4,5,4,5,4,4,2,4,4,4,19,40
53,30,2,6,1,3,3,2,4,3,3,3,3,3,3,3,3,3,3,13,30
54,15,1,5,2,2,2,1,2,1,5,1,5,4,4,5,2,5,2,9,34
55,19,1,2,3,2,3,2,3,4,2,4,2,4,3,1,5,2,4,13,31
56,20,2,1,2,2,1,2,3,5,3,3,4,4,3,2,3,2,2,10,31
57,23,1,2,2,1,3,3,2,3,1,4,2,4,3,1,4,1,4,11,27
58,28,1,0,3,2,4,4,5,4,5,4,4,4,5,5,4,4,4,18,43
59,29,2,2,2,4,5,3,3,4,2,3,2,4,4,2,5,2,4,17,32
60,21,2,0,3,3,4,2,5,2,4,3,2,3,4,2,3,3,3,17,29
61,17,1,1,5,5,4,3,1,5,2,4,1,4,3,1,5,2,5,18,32
62,18,2,0,4,3,2,1,2,4,4,4,3,4,3,3,3,3,3,12,34
63,24,1,2,3,2,1,2,4,4,3,5,1,2,3,3,4,1,4,12,30
64,29,1,1,1,4,2,5,4,4,4,3,2,5,5,3,3,4,4,16,37
65,31,2,2,1,5,3,4,1,3,2,3,4,3,4,2,5,2,3,14,31
66,30,1,0,2,4,3,5,2,3,4,3,4,4,5,1,5,5,5,16,39
67,16,1,2,3,3,3,4,2,5,1,5,2,3,5,1,5,3,5,15,35
68,19,2,3,4,4,3,3,3,3,3,2,3,2,4,3,1,4,3,17,28
69,23,1,2,5,3,4,5,1,2,2,3,2,3,3,2,4,1,3,18,25
70,28,2,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,4,12,31
71,17,1,0,1,2,5,2,1,3,4,4,4,3,4,2,4,3,4,11,35
72,23,2,0,1,2,3,2,3,4,3,3,1,2,3,1,5,1,5,11,28
73,24,1,0,2,2,3,1,2,4,3,4,1,5,1,3,4,4,3,10,32
74,25,2,0,3,3,2,1,2,4,1,5,1,2,3,3,3,3,3,11,28
75,16,1,0,4,3,2,5,2,4,3,4,3,4,4,2,4,3,4,16,35
76,17,2,2,5,3,2,5,4,3,4,4,2,4,4,3,4,3,4,19,35
77,28,1,0,2,1,1,5,1,5,1,4,1,4,4,2,5,1,5,10,32
78,30,1,1,1,1,2,3,2,4,4,4,5,5,5,1,4,5,2,9,39
79,31,1,0,5,1,3,2,1,4,4,4,2,4,3,2,5,2,3,12,33
80,15,1,2,4,1,2,1,4,5,2,4,2,4,3,2,5,2,4,12,33
81,25,1,0,2,1,3,3,5,2,1,2,3,4,2,4,3,4,3,14,28
82,27,1,3,1,2,3,4,4,5,3,3,1,3,3,1,4,3,4,14,30
83,28,1,3,5,5,4,3,3,3,3,3,2,2,3,3,4,3,4,20,30
84,24,2,0,2,4,3,2,2,5,3,5,2,5,4,4,5,1,5,13,39
85,23,2,2,4,2,2,1,3,4,2,4,4,4,4,4,2,4,3,12,35
86,25,2,0,3,3,5,5,4,5,3,4,3,5,4,2,5,2,4,20,37
87,26,2,2,3,2,3,4,2,5,1,5,1,5,4,1,5,1,4,14,32
88,24,2,0,3,5,2,5,5,5,1,5,1,4,5,1,5,1,5,20,33
89,19,2,2,3,4,3,5,1,4,4,4,3,4,4,2,4,3,3,16,35
90,15,1,0,2,4,1,2,2,4,3,4,1,1,4,1,4,1,4,11,27
91,16,2,1,1,1,4,1,3,5,1,4,1,4,4,1,4,1,4,10,29
92,25,1,2,5,2,3,4,3,5,1,5,1,3,5,1,4,1,5,17,31
93,24,1,0,4,5,3,5,2,4,4,4,5,3,3,4,1,5,3,19,36
94,21,1,2,5,4,13,1,3,5,1,5,1,4,4,1,5,1,5,26,32
95,22,2,1,2,3,2,5,3,3,3,4,2,2,2,1,3,2,5,15,27
96,22,2,0,1,2,4,2,3,5,5,5,4,4,4,5,1,1,5,12,39
97,22,1,2,2,5,5,5,3,4,3,4,3,2,3,2,4,2,5,20,32
98,23,1,0,3,5,3,3,2,4,2,4,1,5,4,2,4,1,4,16,31
99,25,2,4,2,4,2,4,4,3,3,3,3,3,3,3,3,3,3,16,30
100,28,2,0,1,1,4,3,5,3,2,5,1,2,3,3,3,3,3,14,28
101,25,2,2,5,1,3,2,1,5,3,5,1,4,4,1,4,2,4,12,33
102,29,2,0,4,2,2,1,2,4,3,3,4,2,3,3,2,4,3,11,31
103,26,1,1,2,1,3,2,3,4,3,3,1,3,4,2,5,2,3,11,30
104,30,2,0,1,4,4,5,2,4,2,4,1,3,4,2,4,1,5,16,30
105,32,1,2,5,5,4,3,1,3,5,3,5,3,1,5,1,5,2,18,33
106,33,2,0,3,2,2,3,5,4,3,4,2,1,3,3,3,4,3,15,30
107,21,1,1,2,2,1,2,3,3,5,3,5,1,5,5,1,4,3,10,35
108,26,2,0,4,3,1,5,3,3,4,4,4,3,4,4,2,4,3,16,35
109,25,1,2,1,2,1,2,5,3,4,2,2,4,3,1,4,3,4,11,30
110,28,2,0,5,5,3,1,4,2,4,4,2,5,3,2,3,4,3,18,32
111,24,1,3,2,4,4,5,2,3,4,2,4,5,3,3,2,4,3,17,33
112,29,2,0,3,1,2,2,1,4,3,4,3,4,4,3,3,2,4,9,34
113,21,1,2,2,2,2,3,2,5,3,4,2,4,5,1,5,2,5,11,36
114,16,2,0,1,3,2,4,3,5,2,4,1,2,3,1,5,2,4,13,29
115,19,1,1,5,2,3,3,3,5,2,5,2,5,5,1,4,2,4,16,35
116,18,1,0,4,5,4,2,4,5,2,4,3,2,4,3,4,4,4,19,35
117,28,2,2,2,4,3,3,1,4,4,2,1,3,3,1,4,3,3,13,28
118,24,2,0,3,1,2,3,2,4,4,3,3,2,4,2,4,2,4,11,32
119,28,1,1,2,1,3,5,4,5,4,4,2,4,4,2,5,1,4,15,35
120,18,1,2,1,2,2,4,5,4,4,3,2,4,5,4,4,3,4,14,37
121,17,2,1,5,4,4,4,4,4,3,4,2,2,3,2,4,1,4,21,29
122,16,2,2,4,5,5,3,5,4,3,4,2,2,3,2,4,2,4,22,30
123,25,2,1,3,2,3,2,4,4,2,4,2,4,4,4,4,2,4,14,34
124,21,1,2,3,1,2,1,2,2,4,3,3,4,3,2,3,4,3,9,31
125,22,1,1,5,3,3,2,3,5,5,5,1,4,5,5,5,1,5,16,41
126,26,1,2,5,2,1,2,3,5,1,4,1,4,3,1,5,1,5,13,30
127,29,2,1,3,5,3,3,2,4,4,2,4,4,3,2,3,3,3,16,32
128,30,2,2,2,4,4,4,5,5,3,4,2,3,4,2,3,3,4,19,33
129,32,2,0,1,1,5,3,3,2,4,2,4,4,4,2,3,4,3,13,32
130,35,1,2,1,2,4,2,5,3,5,3,2,5,2,3,3,2,3,14,31
131,32,2,0,3,5,4,3,1,5,2,5,1,4,5,1,5,1,4,16,33
132,24,1,1,3,4,2,1,2,5,4,4,3,2,5,1,4,3,4,12,35
133,28,2,2,2,2,1,2,4,3,3,4,3,3,3,2,3,2,3,11,29
134,29,1,0,4,3,2,5,4,3,2,2,1,3,3,2,4,1,4,18,25
135,26,2,2,5,5,3,4,1,5,3,5,5,3,4,5,5,5,4,18,44
136,24,1,3,2,5,3,5,2,3,4,3,2,3,3,3,3,4,3,17,31
137,21,2,2,1,2,3,4,2,5,4,4,3,5,3,4,4,3,4,12,39
138,27,1,0,2,1,3,3,3,3,3,4,2,3,3,3,4,2,3,12,30
139,25,2,2,3,1,4,5,1,5,2,3,1,3,3,2,3,2,3,14,27
140,21,1,1,5,1,3,2,3,3,2,4,3,2,4,4,4,3,3,14,32
141,26,2,0,4,4,5,3,2,4,5,3,2,2,5,2,3,1,2,18,29
142,25,1,1,2,3,2,2,5,4,3,4,1,2,4,2,3,2,3,14,28
143,21,1,0,1,3,4,5,4,4,2,3,2,3,3,2,4,2,4,17,29
144,21,2,1,3,2,5,4,1,4,4,4,3,3,4,3,3,2,3,15,33
145,21,2,0,5,1,1,1,2,3,4,3,3,3,3,2,3,3,3,10,30
146,20,1,1,2,4,2,1,3,5,2,5,2,5,5,1,5,1,5,12,36
147,20,2,0,1,2,5,2,5,4,4,3,2,3,3,2,4,2,4,15,31
148,20,1,2,3,5,4,5,2,5,2,3,2,3,4,1,4,2,3,19,29
149,20,2,0,5,2,5,2,4,2,5,2,4,4,3,3,2,5,3,18,33
150,20,1,0,4,1,2,1,1,1,5,1,5,5,1,3,3,5,1,9,30
